Winston-Salem,Winston-Salem Open at Wake Forest University,USA
Kuala Lumpur,Malaysian Open,MYS
Vienna,Erste Bank Open,AUT
Sydney,Apia International,AUS
Vina del Mar,VTR Open,CHL
Sao Paulo,Brasil Open,BRA
Bucharest,BRD Nastase Tiriac Trophy,ROU
Madrid,Mutua Madrid Open,ESP
Umag,ATP Vegeta Croatia Open,HRV
Atlanta,BB&T Atlanta Open,USA
Gstaad,Crédit Agricole Suisse Open Gstaad,CHE
Washington,Citi Open,USA
Birmingham,DFS Classic,GBR
Guangzhou,Landsky Lighting Guangzhou International Women's Open,CHN
Memphis,U.S. National Indoor Tennis Championships,USA
Oeiras,Portugal Open,PRT
Dusseldorf,Power Horse Cup,DEU
's-Hertogenbosch,Topshelf Open,NLD
Bogota,Claro Open Colombia,COL
Kuala Lumpur,Malaysia Open,MYS
Osaka,HP Open,JPN
Vina del Mar,Royal Guard Open Chile,CHL
Delray Beach,Delray Beach Open,USA
Rio de Janeiro,Rio Open,BRA
Dusseldorf,Dusseldorf Open,DEU
Hamburg,bet-at-home Open,DEU
Shenzhen ,Shenzhen Open,CHN
Hong Kong,Prudential Hong Kong Tennis Open,HKG
Quito,Ecuador Open,ECU
Memphis,Memphis Open,USA
Buenos Aires,Argentina Open,ARG
Estoril,Millenium Estoril Open,PRT
Istanbul,Istanbul Open,TUR
Geneva,Geneva Open,CHE
Nottingham,AEGON Open,GBR
Umag,Konzum Croatia Open,HRV
Gstaad,Suisse Open Gstaad,CHE
Dubai,Dubai Duty Free Tennis Championships,ARE
Auckland,ASB Classic,NZL
Sofia,Garanti Koza Sofia Open,BGR
Marrakech,Grand Prix Hassan II,MAR
Hamburg,German Tennis Championships,DEU
Los Cabos,Abierto Mexicano Mifel,MEX
Chengdu,Chengdu Open,CHN
Antwerp,European Open,BEL
Sydney,Apai International,AUS
Kaohsiung,Taiwan Open,TWN
Nanchang,Jiangxi Women's Tennis Open,CHN
Tianjin,Tianjin Open,CHN
Barcelona,Open Banco Sabadell,ESP
Budapest,Gazprom Hungarian Open,HUN
Lyon,Lyon Open,FRA
's-Hertogenbosch,Ricoh Open,NLD
